ParameterID,ParameterName,CasNumber,AlternateName,ChemicalFormula,MolecularWeight
300733,PBDE 154,207122-15-4,"2,2',4,4',5,6'-Hexabromodiphenyl ether",,
300734,PBDE 155,35854-94-5,"2,2',4,4',6,6'-Hexabromodiphenyl ether",,
300736,PCB 107,70424-68-9,"2,3,3',4',5-Pentachlorobiphenyl",C12H5Cl5,
300737,PCB 132,38380-05-1,"2,2',3,3',4,6'-Hexachlorobiphenyl",C12H4Cl6,
300739,cyclopenta[cd]pyrene,27208-37-3,CPcdP,C18H10,226.27
300743,PCB 63,74472-34-7,"2,3,4',5-Tetrachlorobiphenyl",C12H6Cl4,
300745,PCB 163,74472-44-9,"2,3,3',4',5,6-Hexachlorobiphenyl",C12H4Cl6,
300763,PCB 1,2051-60-7,2-Chlorobiphenyl,C12H9Cl,
300764,PCB 2,2051-61-8,3-Chlorobiphenyl,C12H9Cl,
300765,PCB 3,2051-62-9,4-Chlorobiphenyl,C12H9Cl,
300766,PCB 4,13029-08-8,"2,2'-Dichlorobiphenyl",C12H8Cl2,
300773,PCB 6,25569-80-6,"2,3'-Dichlorobiphenyl",C12H8Cl2,
300894,PCB 9,34883-39-1,"2,5-Dichlorobiphenyl",C12H8Cl2,
300897,PCB 10,33146-45-1,"2,6-Dichlorobiphenyl",C12H8Cl2,
300898,PCB 11,2050-67-1,"3,3'-Dichlorobiphenyl",C12H8Cl2,
300899,PCB 12,2974-92-7,"3,4 Dichlorobiphenyl",C12H8Cl2,
300900,PCB 13,2974-90-5,"3,4'-Dichlorobiphenyl",C12H8Cl2,
300901,PCB 14,34883-41-5,"3,5-Dichlorobiphenyl",C12H8Cl2,
300903,PCB 16,38444-78-9,"2,2',3-Trichlorobiphenyl",C12H7Cl3,
300904,PCB 17,37680-66-3,"2,2',4-Trichlorobiphenyl",C12H7Cl3,
300905,PCB 19,38444-73-4,"2,2',6-Trichlorobiphenyl",C12H7Cl3,
300906,PCB 20,38444-84-7,"2,3,3'-Trichlorobiphenyl",C12H7Cl3,
300907,PCB 21,55702-46-0,"2,3,4-Trichlorobiphenyl",C12H7Cl3,
300908,PCB 22,38444-85-8,"2,3,4'-Trichlorobiphenyl",C12H7Cl3,
300909,PCB 23,55720-44-0,"2,3,5-Trichlorobiphenyl",C12H7Cl3,
300910,PCB 24,55702-45-9,"2,3,6-Trichlorobiphenyl",C12H7Cl3,
300911,PCB 25,55712-37-3,"2,3',4-Trichlorobiphenyl",C12H7Cl3,
300912,PCB 26,38444-81-4,"2,3',5-Trichlorobiphenyl",C12H7Cl3,
300913,PCB 27,38444-76-7,"2,3',6-Trichlorobiphenyl",C12H7Cl3,
300914,PCB 29,15862-07-4,"2,4,5-Trichlorobiphenyl",C12H7Cl3,
300915,PCB 30,35693-92-6,"2,4,6-Trichlorobiphenyl",C12H7Cl3,
300916,PCB 32,38444-77-8,"2,4',6-Trichlorobiphenyl",C12H7Cl3,
300917,PCB 33,38444-86-9,"2',3,4-Trichlorobiphenyl",C12H7Cl3,
300918,PCB 34,37680-68-5,"2',3,5-Trichlorobiphenyl",C12H7Cl3,
300919,PCB 35,37680-69-6,"3,3',4-Trichlorobiphenyl",C12H7Cl3,
300920,PCB 36,38444-87-0,"3,3',5-Trichlorobiphenyl",C12H7Cl3,
300921,PCB 38,53555-66-1,"3,4,5-Trichlorobiphenyl",C12H7Cl3,
300922,PCB 39,38444-88-1,"3,4',5-Trichlorobiphenyl",C12H7Cl3,
300923,PCB 40,38444-93-8,"2,2',3,3'-Tetrachlorobiphenyl",C12H6Cl4,
300924,PCB 41,52663-59-9,"2,2',3,4-Tetrachlorobiphenyl",C12H6Cl4,
300925,PCB 42,36559-22-5,"2,2',3,4'-Tetrachlorobiphenyl",C12H6Cl4,
300926,PCB 43,70362-46-8,"2,2',3,5-Tetrachlorobiphenyl",C12H6Cl4,
300927,PCB 46,41464-47-5,"2,2',3,6'-Tetrachlorobiphenyl",C12H6Cl4,
300928,PCB 47,2437-79-8,"2,2',4,4'-Tetrachlorobiphenyl",C12H6Cl4,
300929,PCB 48,70362-47-9,"2,2',4,5-Tetrachlorobiphenyl",C12H6Cl4,
300930,PCB 50,62796-65-0,"2,2',4,6-Tetrachlorobiphenyl",C12H6Cl4,
300931,PCB 51,68194-04-7,"2,2',4,6'-Tetrachlorobiphenyl",C12H6Cl4,
300932,PCB 53,41464-41-9,"2,2',5,6'-Tetrachlorobiphenyl",C12H6Cl4,
300933,PCB 54,15968-05-5,"2,2',6,6'-Tetrachlorobiphenyl",C12H6Cl4,
300934,PCB 55,74338-24-2,"2,3,3',4-Tetrachlorobiphenyl",C12H6Cl4,
300935,PCB 57,70424-67-8,"2,3,3',5-Tetrachlorobiphenyl",C12H6Cl4,
300936,PCB 58,41464-49-7,"2,3,3',5'-Tetrachlorobiphenyl",C12H6Cl4,
300937,PCB 59,74472-33-6,"2,3,3',6-Tetrachlorobiphenyl",C12H6Cl4,
300938,PCB 61,33284-53-6,"2,3,4,5-Tetrachlorobiphenyl",C12H6Cl4,
300939,PCB 62,54230-22-7,"2,3,4,6-Tetrachlorobiphenyl",C12H6Cl4,
300940,PCB 64,52663-58-8,"2,3,4',6-Tetrachlorobiphenyl",C12H6Cl4,
300941,PCB 65,33284-54-7,"2,3,5,6-Tetrachlorobiphenyl",C12H6Cl4,
300942,PCB 67,73575-53-8,"2,3',4,5-Tetrachlorobiphenyl",C12H6Cl4,
300943,PCB 68,73575-52-7,"2,3',4,5'-Tetrachlorobiphenyl",C12H6Cl4,
300944,PCB 69,60233-24-1,"2,3',4,6-Tetrachlorobiphenyl",C12H6Cl4,
300993,PCB 71,41464-46-4,"2,3',4',6-Tetrachlorobiphenyl",C12H6Cl4,
300994,PCB 72,41464-42-0,"2,3',5,5'-Tetrachlorobiphenyl",C12H6Cl4,
300995,PCB 73,74338-23-1,"2,3',5',6-Tetrachlorobiphenyl",C12H6Cl4,
300996,PCB 75,32598-12-2,"2,4,4',6-Tetrachlorobiphenyl",C12H6Cl4,
300997,PCB 76,70362-48-0,"2',3,4,5-Tetrachlorobiphenyl",C12H6Cl4,
300998,PCB 78,70362-49-1,"3,3',4,5-Tetrachlorobiphenyl",C12H6Cl4,
300999,PCB 79,41464-48-6,"3,3',4,5-Tetrachlorobiphenyl",C12H6Cl4,
301000,PCB 80,33284-52-5,"3,3',5,5'-Tetrachlorobiphenyl",C12H6Cl4,
301001,PCB 81,70362-50-4,"3,4,4',5-Tetrachlorobiphenyl",C12H6Cl4,
301002,PCB 83,60145-20-2,"2,2',3,3',5-Pentachlorobiphenyl",C12H5Cl5,
301003,PCB 84,52663-60-2,"2,2',3,3',6-Pentachlorobiphenyl",C12H5Cl5,
301004,PCB 85,65510-45-4,"2,2',3,4,4'-Pentachlorobiphenyl",C12H5Cl5,
301005,PCB 86,55312-69-1,"2,2',3,4,5-Pentachlorobiphenyl",C12H5Cl5,
301006,PCB 88,55215-17-3,"2,2',3,4,6-Pentachlorobiphenyl",C12H5Cl5,
301007,PCB 89,73575-57-2,"2,2',3,4,6'-Pentachlorobiphenyl",C12H5Cl5,
301008,PCB 90,68194-07-0,"2,2',3,4',5-Pentachlorobiphenyl",C12H5Cl5,
301009,PCB 91,68194-05-8,"2,2',3,4',6-Pentachlorobiphenyl",C12H5Cl5,
301010,PCB 93,73575-56-1,"2,2',3,5,6-Pentachlorobiphenyl",C12H5Cl5,
301011,PCB 94,73575-55-0,"2,2',3,5,6'-Pentachlorobiphenyl",C12H5Cl5,
301017,PCB 96,73575-54-9,"2,2',3,6,6'-Pentachlorobiphenyl",C12H5Cl5,
301018,PCB 97,41464-51-1,"2,2',3',4,5-Pentachlorobiphenyl",C12H5Cl5,
301019,PCB 102,68194-06-9,"2,2',4,5,6'-Pentachlorobiphenyl",C12H5Cl5,
301020,PCB 104,56558-16-8,"2,2',4,6,6'-Pentachlorobiphenyl",C12H5Cl5,
301021,PCB 106,70424-69-0,"2,3,3',4,5-Pentachlorobiphenyl",C12H5Cl5,
301022,PCB 108,70362-41-3,"2,3,3',4,5'-Pentachlorobiphenyl",C12H5Cl5,
301023,PCB 109,74472-35-8,"2,3,3',4,6-Pentachlorobiphenyl",C12H5Cl5,
301024,PCB 111,39635-32-0,"2,3,3',5,5'-Pentachlorobiphenyl",C12H5Cl5,
301025,PCB 112,74472-36-9,"2,3,3',5,6-Pentachlorobiphenyl",C12H5Cl5,
301026,PCB 113,68194-10-5,"2,3,3',5',6-Pentachlorobiphenyl",C12H5Cl5,
301027,PCB 115,74472-38-1,"2,3,4,4',6-Pentachlorobiphenyl",C12H5Cl5,
301028,PCB 116,18259-05-7,"2,3,4,5,6-Pentachlorobiphenyl",C12H5Cl5,
301029,PCB 117,68194-11-6,"2,3,4',5,6-Pentachlorobiphenyl",C12H5Cl5,
301030,PCB 119,56558-17-9,"2,3',4,4',6-Pentachlorobiphenyl",C12H5Cl5,
301031,PCB 120,68194-12-7,"2,3',4,5,5'-Pentachlorobiphenyl",C12H5Cl5,
301032,PCB 121,56558-18-0,"2,3',4,5',6-Pentachlorobiphenyl",C12H5Cl5,
301033,PCB 122,76842-07-4,"2',3,3',4,5-Pentachlorobiphenyl",C12H5Cl5,
301034,PCB 123,65510-44-3,"2',3,4,4',5-Pentachlorobiphenyl",C12H5Cl5,
301035,PCB 124,70424-70-3,"2',3,4,5,5'-Pentachlorobiphenyl",C12H5Cl5,
301036,PCB 125,74472-39-2,"2',3,4,5,6'-Pentachlorobiphenyl",C12H5Cl5,
301037,PCB 127,39635-33-1,"3,3',4,5,5'-Pentachlorobiphenyl",C12H5Cl5,
301038,PCB 129,55215-18-4,"2,2',3,3',4,5-Hexachlorobiphenyl",C12H4Cl6,
301039,PCB 131,61798-70-7,"2,2',3,3',4,6-Hexachlorobiphenyl",C12H4Cl6,
301040,PCB 133,35694-04-3,"2,2',3,3',5,5'-Hexachlorobiphenyl",C12H4Cl6,
301041,PCB 134,52704-70-8,"2,2',3,3',5,6-Hexachlorobiphenyl",C12H4Cl6,
301042,PCB 135,52744-13-5,"2,2',3,3',5,6'-Hexachlorobiphenyl",C12H4Cl6,
301043,PCB 136,38411-22-2,"2,2',3,3',6,6'-Hexachlorobiphenyl",C12H4Cl6,
301044,PCB 137,35694-06-5,"2,2',3,4,4',5-Hexachlorobiphenyl",C12H4Cl6,
301045,PCB 139,56030-56-9,"2,2',3,4,4',6-Hexachlorobiphenyl",C12H4Cl6,
301046,PCB 140,59291-64-4,"2,2',3,4,4',6'-Hexachlorobiphenyl",C12H4Cl6,
301047,PCB 141,52712-04-6,"2,2',3,4,5,5'-Hexachlorobiphenyl",C12H4Cl6,
301048,PCB 142,41411-61-4,"2,2',3,4,5,6-Hexachlorobiphenyl",C12H4Cl6,
301049,PCB 143,68194-15-0,"2,2',3,4,5,6'-Hexachlorobiphenyl",C12H4Cl6,
301050,PCB 144,68194-14-9,"2,2',3,4,5',6-Hexachlorobiphenyl",C12H4Cl6,
301051,PCB 145,74472-40-5,"2,2',3,4,6,6'-Hexachlorobiphenyl",C12H4Cl6,
301052,PCB 147,68194-13-8,"2,2',3,4',5,6-Hexachlorobiphenyl",C12H4Cl6,
301053,PCB 148,74472-41-6,"2,2',3,4',5,6'-Hexachlorobiphenyl",C12H4Cl6,
301054,PCB 150,68194-08-1,"2,2',3,4',6,6'-Hexachlorobiphenyl",C12H4Cl6,
301055,PCB 152,68194-09-2,"2,2',3,5,6,6'-Hexachlorobiphenyl",C12H4Cl6,
301056,PCB 154,60145-22-4,"2,2',4,4',5,6'-Hexachlorobiphenyl",C12H4Cl6,
301057,PCB 155,33979-03-2,"2,2',4,4',6,6'-Hexachlorobiphenyl",C12H4Cl6,
301058,PCB 159,39635-35-3,"2,3,3',4,5,5'-Hexachlorobiphenyl",C12H4Cl6,
301059,PCB 160,41411-62-5,"2,3,3',4,5,6-Hexachlorobiphenyl",C12H4Cl6,
301060,PCB 161,74472-43-8,"2,3,3',4,5',6-Hexachlorobiphenyl",C12H4Cl6,
301061,PCB 162,39635-34-2,"2,3,3',4',5,5'-Hexachlorobiphenyl",C12H4Cl6,
301062,PCB 164,74472-45-0,"2,3,3',4',5',6-Hexachlorobiphenyl",C12H4Cl6,
301063,PCB 165,74472-46-1,"2,3,3',5,5',6-Hexachlorobiphenyl",C12H4Cl6,
301064,PCB 168,59291-65-5,"2,3',4,4',5',6-Hexachlorobiphenyl",C12H4Cl6,
301065,PCB 171,52663-71-5,"2,2',3,3',4,4',6-Heptachlorobiphenyl",C12H3Cl7,
301066,PCB 172,52663-74-8,"2,2',3,3',4,5,5'-Heptachlorobiphenyl",C12H3Cl7,
301067,PCB 173,68194-16-1,"2,2',3,3',4,5,6-Heptachlorobiphenyl",C12H3Cl7,
301068,PCB 174,38411-25-5,"2,2',3,3',4,5,6'-Heptachlorobiphenyl",C12H3Cl7,
301069,PCB 175,40186-70-7,"2,2',3,3',4,5',6-Heptachlorobiphenyl",C12H3Cl7,
301070,PCB 176,52663-65-7,"2,2',3,3',4,6,6'-Heptachlorobiphenyl",C12H3Cl7,
301071,PCB 181,74472-47-2,"2,2',3,4,4',5,6-Heptachlorobiphenyl",C12H3Cl7,
301072,PCB 182,60145-23-5,"2,2',3,4,4',5,6'-Heptachlorobiphenyl",C12H3Cl7,
301073,PCB 184,74472-48-3,"2,2',3,4,4',6,6'-Heptachlorobiphenyl",C12H3Cl7,
301074,PCB 185,52712-05-7,"2,2'3,4,5,5',6-Heptachlorobiphenyl",C12H3Cl7,
301075,PCB 186,74472-49-4,"2,2',3,4,5,6,6'-Heptachlorobiphenyl",C12H3Cl7,
301076,PCB 188,74487-85-7,"2,2',3,4',5,6,6'-Heptachlorobiphenyl",C12H3Cl7,
301077,PCB 190,41411-64-7,"2,3,3',4,4',5,6-Heptachlorobiphenyl",C12H3Cl7,
301078,PCB 191,74472-50-7,"2,3,3',4,4',5',6-Heptachlorobiphenyl",C12H3Cl7,
301079,PCB 192,74472-51-8,"2,3,3',4,5,5',6-Heptachlorobiphenyl",C12H3Cl7,
301080,PCB 193,69782-91-8,"2,3,3',4',5,5',6-Heptachlorobiphenyl",C12H3Cl7,
301081,PCB 195,52663-78-2,"2,2',3,3',4,4',5,6-Octachlorobiphenyl",C12H2Cl8,
301082,PCB 196,42740-50-1,"2,2',3,3',4,4',5,6'-Octachlorobiphenyl",C12H2Cl8,
301083,PCB 197,33091-17-7,"2,2',3,3',4,4',6,6'-Octachlorobiphenyl",C12H2Cl8,
301084,PCB 198,68194-17-2,"2,2',3,3',4,5,5',6-Octachlorobiphenyl",C12H2Cl8,
301085,PCB 199,52663-75-9,"2,2',3,3',4,5,5',6'-Octachlorobiphenyl",C12H2Cl8,
301086,PCB 200,52663-73-7,"2,2',3,3',4,5,6,6'-Octachlorobiphenyl",C12H2Cl8,
301087,PCB 203,52663-76-0,"2,2',3,4,4',5,5',6-Octachlorobiphenyl",C12H2Cl8,
301088,PCB 204,74472-52-9,"2,2',3,4,4',5,6,6'-Octachlorobiphenyl",C12H2Cl8,
301089,PCB 205,74472-53-0,"2,3,3',4,4',5,5',6-Octachlorobiphenyl",C12H2Cl8,
301090,PCB 206,40186-72-9,"2,2',3,3',4,4',5,5',6-Nonachlorobiphenyl",C12HCl9,
301091,PCB 207,52663-79-3,"2,2',3,3',4,4',5,6,6'-Nonachlorobiphenyl",C12HCl9,
301092,PCB 208,52663-77-1,"2,2',3,3',4,5,5',6,6'-Nonachlorobiphenyl",C12HCl9,
301093,Dicyclopentadiene,77-73-6,,C10H12,
301094,Dimefox,115-26-4,,C4H12FN2OP,
301095,"2,4-Dimethylaniline",95-68-1,,C8H11N,
301096,"2,6-Dimethylaniline",87-62-7,,C8H11N,
301097,Ethiolate,2941-55-1,,C7H15NOS,
301098,3-Chloroaniline,108-42-9,,C6H6ClN,
301099,"2-Ethyl-1,3-hexanediol",94-96-2,,C8H18O2,
301100,Allidochlor,93-71-0,,C8H12ClNO,
301101,"2,3,5-Trichlorophenol",933-78-8,,C6H3Cl3O,
301102,"2,6-Dichlorobenzonitrile",1194-65-6,,C7H3Cl2N,
301103,Dichlormid,37764-25-3,,C8H11Cl2NO,
301104,Phenoxyacetic acid,122-59-8,,C8H8O3,
301105,Propamocarb,24579-73-5,,C9H20N2O2,
301106,2-Phenoxypropionic acid,940-31-8,,C9H10O3,
301107,"3,5-Dichloroaniline",626-43-7,,C6H5Cl2N,
301108,"3,4-Dichloroaniline",95-76-1,,C6H5Cl2N,
301109,Acephate,30560-19-1,,C4H10NO3PS,
301110,Chlormefos,24934-91-6,,C5H12ClO2PS2,
301111,Nitrapyrin,1929-82-4,,C6H3Cl4N,
301112,Metolcarb,1129-41-5,,C9H11NO2,
301113,Trichlorfon,52-68-6,,C4H8Cl3O4P,
301114,Butylated hydroxyanisole,25013-16-5,,C11H16O2,
301115,Methacrifos,62610-77-9,,C7H13O5PS,
301116,o-Phenylphenol,90-43-7,,C12H10O,
301117,Crimidine,535-89-7,,C7H10ClN3,
301118,Dicamba methyl ester,6597-78-0,,C9H8Cl2O3,
301119,2-(2-Butoxyethoxy)ethyl thiocyanate,112-56-1,,C9H17NO2S,
301120,2-(Octylthio)ethanol,3547-33-9,,C10H22OS,
301121,Isoprocarb,2631-40-5,,C11H15NO2,
301122,Demephion,8065-62-1,,C5H13O3PS2,
301123,"2,3,5,6-Tetrachlorophenol",935-95-5,,C6H2Cl4O,
301124,Mecoprop methyl ester,23844-56-6,,C11H13ClO3,
301125,Ethylenethiourea,96-45-7,,C3H6N2S,
301126,"2,3,4,5-Tetrachlorophenol",4901-51-3,,C6H2Cl4O,
301127,MCPA methyl ester,2436-73-9,,C10H11ClO3,
301128,Heptenophos,23560-59-0,,C9H12ClO4P,
301129,Chlorfenprop-methyl,14437-17-3,,C10H10Cl2O2,
301130,Omethoate,1113-02-6,,C5H12NO4PS,
301131,Tecnazene,117-18-0,,C6HCl4NO2,
301132,Dichlorprop methyl ester,57153-17-0,,C10H10Cl2O3,
301133,Demeton-S-methyl,919-86-8,,C6H15O3PS2,
301134,Benzophenone,119-61-9,,C13H10O,
301135,"2,4-D methyl ester",1928-38-7,,C9H8Cl2O3,
301136,2-(3-Chlorophenoxy)propionamide,5825-87-6,,C9H10ClNO2,
301137,Chlordimeform,6164-98-3,,C10H13ClN2,
301138,"2,3,5-Trimethacarb",2655-15-4,,C11H15NO2,
301139,Ethalfluralin,55283-68-6,,C13H14F3N3O4,
301140,Thiofanox,39196-18-4,,C9H18N2O2S,
301141,Bendiocarb,22781-23-3,,C11H13NO4,
301142,Benfluralin,1861-40-1,,C13H16F3N3O4,
301143,Tebutam,35256-85-0,,C15H23NO,
301144,Desbromo-bromobutide,999055-03-7,,C15H23NO,
301145,Triclopyr methyl ester,60825-26-5,,C8H6Cl3NO3,
301146,Methyl-1-naphthalene acetate,2876-78-0,,C13H12O2,
301147,Diallate II,999035-03-9,Cis Diallate,C10H17Cl2NOS,
301148,Thiometon,640-15-3,,C6H15O2PS3,
301149,Desmedipham,13684-56-5,,C16H16N2O4,
301150,Dazomet,533-74-4,,C5H10N2S2,
301151,Pentachloroanisole,1825-21-4,,C7H3Cl5O,
301152,Diethyl dithiobis(thionoformate) (EXD),502-55-6,,C6H10O2S4,
301153,"3,4,5-Trimethacarb",2686-99-9,,C11H15NO2,
301154,Ethoxyquin,91-53-2,,C14H19NO,
301155,Chlorbufam,1967-16-4,,C11H10ClNO2,
301156,Dimethipin,55290-64-7,,C6H10O4S2,
301158,Clomazone,81777-89-1,,C12H14ClNO2,
301159,Fenoprop methyl ester,4841-20-7,,C10H9Cl3O3,
301160,Cyromazine,66215-27-8,,C6H10N6,
301161,Terbumeton,33693-04-8,,C10H19N5O,
301162,Chloramben methyl ester,7286-84-2,,C8H7Cl2NO2,
301163,N-Methyl-N-1-naphthyl acetamide,5903-13-9,,C13H13NO,
301164,Isocarbamide,30979-48-7,,C8H15N3O2,
301165,Cycluron,2163-69-1,,C11H22N2O,
301166,Di-n-propyl phthalate,131-16-8,,C14H18O4,
301167,Cyanophos,2636-26-2,,C9H10NO3PS,
301168,Pyroquilon,57369-32-1,,C11H11NO,
301169,Trietazine,1912-26-1,,C9H16ClN5,
301170,Fonofos,944-22-9,,C10H15OPS2,
301171,Propetamphos,31218-83-4,,C10H20NO4PS,
301172,"2,4,5-T methyl ester",1928-37-6,,C9H7Cl3O3,
301173,MCPB methyl ester,57153-18-1,,C12H15ClO3,
301174,Profluralin,26399-36-0,,C14H16F3N3O4,
301175,Dinoterb,1420-07-1,,C10H12N2O5,
301176,Pyrimethanil,53112-28-0,,C12H13N3,
301177,Pindone,83-26-1,,C14H14O3,
301178,Fenfuram,24691-80-3,,C12H11NO2,
301179,"2,4-D sec-butyl ester",94-79-1,,C12H14Cl2O3,
301182,Dinitramine,29091-05-2,,C11H13F3N4O4,
301183,Isazophos,42509-80-8,,C9H17ClN3O3PS,
301184,Carbofuran-3-keto,16709-30-1,,C12H13NO4,
301185,Etrimfos,38260-54-7,,C10H17N2O4PS,
301186,Bromocyclen,1715-40-8,,C8H5BrCl6,
301187,Isobornyl thiocyanoacetate,115-31-1,,C13H19NO2S,
301188,Sebuthylazine,7286-69-3,,C9H16ClN5,
301189,Oxabetrinil,74782-23-3,,C12H12N2O3,
301190,Endosulfan ether,3369-52-6,,C9H6Cl6O,
301191,Iprobenfos,26087-47-8,,C13H21O3PS,
301192,Monalide,7287-36-7,,C13H18ClNO,
301193,Metobromuron,3060-89-7,,C9H11BrN2O2,
301194,Pentachloroaniline,527-20-8,,C6H2Cl5N,
301195,Formothion,2540-82-1,,C6H12NO4PS2,
301196,"2,4-DB methyl ester",18625-12-2,,C11H12Cl2O3,
301197,Furmecyclox,60568-05-0,,C14H21NO3,
301198,Pirimicarb,23103-98-2,,C11H18N4O2,
301199,Dinoseb methyl ether,6099-79-2,,C11H14N2O5,
301200,Butoxycarboxim,34681-23-7,,C7H14N2O4S,
301201,N-1-Naphthylacetamide,575-36-0,,C12H11NO,
301202,Benfuresate,68505-69-1,,C12H16O4S,
301203,Desmetryn,1014-69-3,,C8H15N5S,
301204,Chlorthiamid,1918-13-4,,C7H5Cl2NS,
301205,Dichlofenthion,97-17-6,,C10H13Cl2O3PS,
301206,Dimethachlor,50563-36-5,,C13H18ClNO2,
301207,Cyprazine,22936-86-3,,C9H14ClN5,
301208,Bromobutide,74712-19-9,,C15H22BrNO,
301209,Prothoate,2275-18-5,,C9H20NO3PS2,
301210,Bentazone methyl derivative,61592-45-8,,C11H14N2O3S,
301211,Acetochlor,34256-82-1,,C14H20ClNO2,
301212,Fuberidazole,3878-19-1,,C11H8N2O,
301213,Chlorpyrifos Methyl,5598-13-0,,C7H7Cl3NO3PS,
301214,Plifenat,21757-82-4,,C10H7Cl5O2,
301215,Terbucarb,1918-11-2,,C17H27NO2,
301216,Chloranocryl,2164-09-2,,C10H9Cl2NO,
301217,Tolclofos-methyl,57018-04-9,,C9H11Cl2O3PS,
301218,Fenoprop,93-72-1,,C10H9Cl3O3,
301219,Malathion-o-analog,1634-78-2,,C10H19O7PS,
301220,Isoproturon,34123-59-6,,C12H18N2O,
301221,Flurenol-methylester,1216-44-0,,C15H12O3,
301222,Dimetilan,644-64-4,,C10H16N4O3,
301223,Tridiphane,58138-08-2,,C10H7Cl5O,
301224,Oxydemeton-methyl,301-12-2,,C6H15O4PS2,
301225,Metalaxyl,57837-19-1,,C15H21NO4,
301226,Paraoxon,311-45-5,,C10H14NO6P,
301227,Dinoseb acetate,2813-95-8,,C12H14N2O6,
301228,2-(1-naphthyl)acetamide,86-86-2,,C12H11NO,
301229,Demeton-S-methylsulfon,17040-19-6,,C6H15O5PS2,
301230,Tycor (SMY 1500),64529-56-2,,C9H16N4OS,
301231,Picloram methyl ester,14143-55-6,,C7H5Cl3N2O2,
301232,Ioxynil,1689-83-4,,C7H3I2NO,
301233,Dinoterb acetate,3204-27-1,,C12H14N2O6,
301234,Dithiopyr,97886-45-8,,C15H16F5NO2S2,
301235,Quinoclamine,2797-51-5,,C10H6ClNO2,
301236,Pentanochlor,2307-68-8,,C13H18ClNO,
301237,Esprocarb,85785-20-2,,C15H23NOS,
301238,Ethofumesate,26225-79-6,,C13H18O5S,
301239,Probenazole,27605-76-1,,C10H9NO3S,
301240,Chlorotoluron,15545-48-9,,C10H13ClN2O,
301241,Dichlofluanid,1085-98-9,,C9H11Cl2FN2O2S2,
301242,Amidithion,919-76-6,,C7H16NO4PS2,
301243,Benthiocarb,28249-77-6,,C12H16ClNOS,
301244,Dipropetryn,4147-51-7,,C11H21N5S,
301245,Kinoprene,42588-37-4,,C18H28O2,
301246,Diethofencarb,87130-20-9,,C14H21NO4,
301247,Dimethylvinphos(Z),67628-93-7,,C10H10Cl3O4P,
301248,"4,4'-Dichlorobenzophenone",90-98-2,,C13H8Cl2O,
301249,Tetrapropyl thiodiphosphate,3244-90-4,,C12H28O5P2S2,
301250,Fepropimorph,67564-91-4,,C20H33NO,
301251,Isomethiozin,57052-04-7,,C12H20N4OS,
301252,Dicapthon,2463-84-5,,C8H9ClNO5PS,
301253,Isobenzan,297-78-9,,C9H4Cl8O,
301254,Methfuroxam,28730-17-8,,C14H15NO2,
301255,Carbetamide,16118-49-3,,C12H16N2O3,
301256,Tiocarbazil I,36756-79-3,,C16H25NOS,
301257,Fenson,80-38-6,,C12H9ClO3S,
301258,Chlorthion,500-28-7,,C8H9ClNO5PS,
301259,Phthalide,27355-22-2,,C8H2Cl4O2,
301260,Nitrothal-isopropyl,10552-74-6,,C14H17NO6,
301261,Drazoxolon,5707-69-7,,C10H8ClN3O2,
301262,Crufomate,299-86-5,,C12H19ClNO3P,
301263,Dodemorph I,1593-77-7,,C18H35NO,
301264,Flurochloridone I,61213-25-0,,C12H10Cl2F3NO,
301265,Sulfur (S8),10544-50-0,,S8,
301266,Pyracarbolid,24691-76-7,,C13H15NO2,
301267,Bromophos,2104-96-3,,C8H8BrCl2O3PS,
301268,Naphthalic anhydride,81-84-5,,C12H6O3,
301269,Butralin,33629-47-9,,C14H21N3O4,
301270,Endosulfan lactone,3868-61-9,,C9H4Cl6O2,
301271,Octachlorostyrene,29082-74-4,,C8Cl8,
301272,Pirimiphos-ethyl,23505-41-1,,C13H24N3O3PS,
301273,Isopropalin,33820-53-0,,C15H23N3O4,
301274,Metazachlor,67129-08-2,,C14H16ClN3O,
301275,Methoprene I,40596-69-8,,C19H34O3,
301276,Mefluidide,53780-34-0,,C11H13F3N2O3S,
301277,Thiabendazole,148-79-8,,C10H7N3S,
301278,Benazolin-ethyl,25059-80-7,,C11H10ClNO3S,
301279,Chlorbromuron,13360-45-7,,C9H10BrClN2O2,
301280,Penconazole,66246-88-6,,C13H15Cl2N3,
301281,Dimethametryn,22936-75-0,,C11H21N5S,
301282,Phosfolan,947-02-4,,C7H14NO3PS2,
301283,Tolylfluanid,731-27-1,,C10H13Cl2FN2O2S2,
301284,Pyrifenox I,88283-41-4,,C14H12Cl2N2O,
301285,Methyldymron,42609-73-4,,C17H20N2O,
301286,Mephosfolan,950-10-7,,C8H16NO3PS2,
301287,Chlozolinate,84332-86-5,,C13H11Cl2NO5,
301288,Folpet,133-07-3,,C9H4Cl3NO2S,
301289,Isofenphos,25311-71-1,,C15H24NO4PS,
301290,Pyridinitril,1086-02-8,,C13H5Cl2N3,
301291,Quinalphos,13593-03-8,,C12H15N2O3PS,
301292,Triadimenol,55219-65-3,,C14H18ClN3O2,
301293,Phenthoate,2597-03-7,,C12H17O4PS2,
301294,Mecarbam,2595-54-2,,C10H20NO5PS2,
301295,Bioallethrin S-cyclopentenyl isomer,28434-00-6,,C19H26O3,
301296,Chlorbenside,103-17-3,,C13H10Cl2S,
301297,Bioallethrin,584-79-2,,C19H26O3,
