Chemical_Name,Chemical Category,Chemical Group,CAS,BetterCAS,Boiling Point (Â°C),Cancer Toxicity,Prop 65 Listed,IARC Listed,Reproductive Toxicity,Respiratory Toxicity,Dermal Toxicity,Environmental Toxicity,Summary_of_Health_Effects,Sources_of_Exposure,Environmental Impact Potential,Commercial_Products,Mitigation_Strategies
"Diuron Metabolite [3,4-Dichlorophenyl isocyanate]",Herbicide metabolite,Herbicide,55512-25-7,,220-230 (decomposes),Possible carcinogen (IARC Group 2B),Yes,Group 2B,Unknown,Low,Low,High,"Cancer, reproductive toxicity",Herbicides,High (persistent and bioaccumulative),Herbicides,Use alternative herbicides or integrated pest management techniques.
Drometrizole,Sunscreen,Sunscreen,5402-93-0,,300-320,Unknown,No,Not listed,Unknown,Low,Low,Moderate,"Skin irritation, allergic reactions",Sunscreens,Moderate,Sunscreens,Choose mineral-based sunscreens or avoid chemical sunscreens.
Ethylene brassylate,Ester,Ester,14222-05-05,,360,Unknown,No,Not listed,Unknown,Low,Low,Moderate,"Skin irritation, allergic reactions","Fragrances, cosmetics",Moderate,"Fragrances, cosmetics",Choose fragrance-free products or products with natural fragrances.
Fenitrothion,Organophosphate insecticide,Insecticide,122-06-0,,200-230 (decomposes),Possible carcinogen (IARC Group 2B),Yes,Group 2B,Possible reproductive toxicity,Low,Low,High,"Neurotoxicity, respiratory irritation","Insecticides, treated crops",High (persistent and bioaccumulative),"Insecticides, treated crops",Use alternative insecticides or integrated pest management techniques.
Fluoranthene,Polycyclic aromatic hydrocarbon (PAH),Aromatic hydrocarbon,206-44-0,,370,Carcinogen (IARC Group 1),Yes,Group 1,Unknown,Low,Low,High,Cancer,"Coal tar, petroleum products",High (persistent and bioaccumulative),"Coal tar products, petroleum products",Avoid exposure to coal tar and petroleum products.
Fluorene,Polycyclic aromatic hydrocarbon (PAH),Aromatic hydrocarbon,86-73-7,,307,Possible carcinogen (IARC Group 2B),Yes,Group 2B,Unknown,Low,Low,High,"Skin irritation, respiratory problems, potential carcinogen","Coal tar, petroleum products",High (persistent and bioaccumulative),"Coal tar products, petroleum products",Avoid exposure to coal tar and petroleum products.
Galaxolide,Musk,Musk,531-89-0,,320-340,Unknown,No,Not listed,Unknown,Low,Low,Moderate,"Skin irritation, allergic reactions","Fragrances, cosmetics",Moderate,"Fragrances, cosmetics",Choose fragrance-free products or products with natural fragrances.
Lilial,Aldehyde,Aldehyde,83-66-9,,224,Unknown,No,Not listed,Unknown,Low,Low,Moderate,"Skin irritation, allergic reactions","Fragrances, cosmetics",Moderate,"Fragrances, cosmetics",Choose fragrance-free products or products with natural fragrances.
Musk Ketone,Musk,Musk,531-89-0,,320-340,Unknown,No,Not listed,Unknown,Low,Low,Moderate,"Skin irritation, allergic reactions","Fragrances, cosmetics",Moderate,"Fragrances, cosmetics",Choose fragrance-free products or products with natural fragrances.
"N,N-Diethyl-m-toluamide",Amide,Amide,98-00-0,,235,Unknown,No,Not listed,Unknown,Low,Low,Moderate,"Skin irritation, allergic reactions",Insect repellents,Moderate,Insect repellents,Use alternative insect repellents or take precautions to avoid insect bites.
O-Phenylphenol,Phenol,Phenol,90-43-7,,273,Possible carcinogen (IARC Group 2B),Yes,Group 2B,Unknown,Low,Low,Moderate,"Skin irritation, respiratory problems","Industrial chemicals, dyes",Moderate,"Industrial chemicals, dyes",Avoid exposure to industrial chemicals; use alternative materials or processes.
Permethrin,Synthetic pyrethroid insecticide,Insecticide,52645-53-1,,200-250 (decomposes),Possible carcinogen (IARC Group 2B),Yes,Group 2B,Possible reproductive toxicity,Low,Low,High,"Neurotoxicity, respiratory irritation","Insecticides, treated clothing",High (persistent and bioaccumulative),"Insecticides, treated clothing",Use alternative insecticides or integrated pest management techniques.
Permethrin II,Synthetic pyrethroid insecticide,Insecticide,52645-53-1,,200-250 (decomposes),Possible carcinogen (IARC Group 2B),Yes,Group 2B,Possible reproductive toxicity,Low,Low,High,"Neurotoxicity, respiratory irritation","Insecticides, treated clothing",High (persistent and bioaccumulative),"Insecticides, treated clothing",Use alternative insecticides or integrated pest management techniques.
Phantolide,Musk,Musk,83-66-9,,224,Unknown,No,Not listed,Unknown,Low,Low,Moderate,"Skin irritation, allergic reactions","Fragrances, cosmetics",Moderate,"Fragrances, cosmetics",Choose fragrance-free products or products with natural fragrances.
Phenanthrene,Polycyclic aromatic hydrocarbon (PAH),Aromatic hydrocarbon,86-53-7,,340,Possible carcinogen (IARC Group 2B),Yes,Group 2B,Unknown,Low,Low,High,"Skin irritation, respiratory problems, potential carcinogen","Coal tar, petroleum products",High (persistent and bioaccumulative),"Coal tar products, petroleum products",Avoid exposure to coal tar and petroleum products.
Piperonyl butoxide,Synergist,Synergist,51-03-6,,260-270,Unknown,No,Not listed,Unknown,Low,Low,Moderate,"Skin irritation, allergic reactions","Pesticides, insect repellents",Moderate,"Pesticides, insect repellents",Use alternative pesticides or insect repellents.
"Prallethrin, trans-",Synthetic pyrethroid insecticide,Insecticide,52645-53-1,,200-250 (decomposes),Possible carcinogen (IARC Group 2B),Yes,Group 2B,Possible reproductive toxicity,Low,Low,High,"Neurotoxicity, respiratory irritation","Insecticides, treated clothing",High (persistent and bioaccumulative),"Insecticides, treated clothing",Use alternative insecticides or integrated pest management techniques.
Pyrene,Polycyclic aromatic hydrocarbon (PAH),Aromatic hydrocarbon,129-00-0,,395,Carcinogen (IARC Group 1),Yes,Group 1,Unknown,Low,Low,High,Cancer,"Coal tar, petroleum products",High (persistent and bioaccumulative),"Coal tar products, petroleum products",Avoid exposure to coal tar and petroleum products.
Quinoline,Heterocyclic compound,Heterocyclic compound,91-20-3,,237,Possible carcinogen (IARC Group 2B),Yes,Group 2B,Unknown,Low,Low,Moderate,"Skin irritation, respiratory problems","Industrial chemicals, dyes",Moderate,"Industrial chemicals, dyes",Avoid exposure to industrial chemicals; use alternative materials or processes.
TCEP,Tris(2-chloroethyl) phosphate,Organophosphate,115-96-8,,290-310,Possible carcinogen (IARC Group 2B),Yes,Group 2B,Possible reproductive toxicity,Low,Low,Moderate,"Endocrine disruptor, reproductive toxicity","Flame retardants, hydraulic fluids",Moderate,"Flame retardants, hydraulic fluids",Choose products without TCEP; use alternative flame retardants.
TCPP,Tris(chloropropyl) phosphate,Organophosphate,13463-67-7,,290-310,Possible carcinogen (IARC Group 2B),Yes,Group 2B,Possible reproductive toxicity,Low,Low,Moderate,"Endocrine disruptor, reproductive toxicity","Flame retardants, hydraulic fluids",Moderate,"Flame retardants, hydraulic fluids",Choose products without TCPP; use alternative flame retardants.
Tetramethrin I,Synthetic pyrethroid insecticide,Insecticide,52645-53-1,,200-250 (decomposes),Possible carcinogen (IARC Group 2B),Yes,Group 2B,Possible reproductive toxicity,Low,Low,High,"Neurotoxicity, respiratory irritation","Insecticides, treated clothing",High (persistent and bioaccumulative),"Insecticides, treated clothing",Use alternative insecticides or integrated pest management techniques.
Tetramethrin II,Synthetic pyrethroid insecticide,Insecticide,52645-53-1,,200-250 (decomposes),Possible carcinogen (IARC Group 2B),Yes,Group 2B,Possible reproductive toxicity,Low,Low,High,"Neurotoxicity, respiratory irritation","Insecticides, treated clothing",High (persistent and bioaccumulative),"Insecticides, treated clothing",Use alternative insecticides or integrated pest management techniques.
Thymol,Phenol,Phenol,51-35-4,,233,Unknown,No,Not listed,Unknown,Low,Low,Moderate,"Skin irritation, allergic reactions","Fragrances, food",Moderate,"Fragrances, food",Choose fragrance-free products or products with natural fragrances.
Tonalide,Musk,Musk,83-66-9,,224,Unknown,No,Not listed,Unknown,Low,Low,Moderate,"Skin irritation, allergic reactions","Fragrances, cosmetics",Moderate,"Fragrances, cosmetics",Choose fragrance-free products or products with natural fragrances.
Triclosan,Phenol,Phenol,3380-31-5,,260,Possible carcinogen (IARC Group 2B),Yes,Group 2B,Unknown,Low,Low,Moderate,"Endocrine disruptor, reproductive toxicity","Antimicrobial products, personal care products",Moderate,"Antimicrobial products, personal care products",Choose triclosan-free products; use alternative antimicrobial agents.
Tris(2-ethylhexyl) phosphate,Organophosphate,Phosphate,78-40-0,,215,Possible carcinogen (IARC Group 2B),Yes,Group 2B,Possible reproductive toxicity,Low,Low,Moderate,"Endocrine disruptor, reproductive toxicity","Flame retardants, hydraulic fluids",Moderate,"Flame retardants, hydraulic fluids",Choose products without tris(2-ethylhexyl) phosphate; use alternative flame retardants.
1-Methylpyrene,Polycyclic aromatic hydrocarbon (PAH),Aromatic hydrocarbon,0218-01-09,,363,Carcinogen (IARC Group 1),Yes,Group 1,Unknown,Low,Low,High,Cancer,"Coal tar, petroleum products",High (persistent and bioaccumulative),"Coal tar products, petroleum products",Avoid exposure to coal tar and petroleum products.
"1,2-Dimethylnaphthalene",Aromatic hydrocarbon,Aromatic hydrocarbon,93-07-3,,262,Possible carcinogen (IARC Group 2B),Yes,Group 2B,Unknown,Low,Low,Moderate,"Skin irritation, respiratory problems","Industrial chemicals, dyes",Moderate,"Industrial chemicals, dyes",Avoid exposure to industrial chemicals; use alternative materials or processes.
"1,6-Dimethylnaphthalene",Aromatic hydrocarbon,Aromatic hydrocarbon,0132-04-09,,282,Possible carcinogen (IARC Group 2B),Yes,Group 2B,Unknown,Low,Low,Moderate,"Skin irritation, respiratory problems","Industrial chemicals, dyes",Moderate,"Industrial chemicals, dyes",Avoid exposure to industrial chemicals; use alternative materials or processes.
2-Ethylnaphthalene,Aromatic hydrocarbon,Aromatic hydrocarbon,612-33-9,,258,Possible carcinogen (IARC Group 2B),Yes,Group 2B,Unknown,Low,Low,Moderate,"Skin irritation, respiratory problems","Industrial chemicals, dyes",Moderate,"Industrial chemicals, dyes",Avoid exposure to industrial chemicals; use alternative materials or processes.
"2-Methyl-9,10-anthraquinone",Quinone,Quinone,82-47-0,,380,Possible carcinogen (IARC Group 2B),Yes,Group 2B,Unknown,Low,Low,Moderate,"Skin irritation, respiratory problems","Industrial chemicals, dyes",Moderate,"Industrial chemicals, dyes",Avoid exposure to industrial chemicals; use alternative materials or processes.
"2,6-Dimethylnaphthalene",Aromatic hydrocarbon,Aromatic hydrocarbon,0132-04-09,,282,Possible carcinogen (IARC Group 2B),Yes,Group 2B,Unknown,Low,Low,Moderate,"Skin irritation, respiratory problems","Industrial chemicals, dyes",Moderate,"Industrial chemicals, dyes",Avoid exposure to industrial chemicals; use alternative materials or processes.
"3,6-Dimethylphenanthrene",Polycyclic aromatic hydrocarbon (PAH),Aromatic hydrocarbon,205-99-2,,370,Carcinogen (IARC Group 1),Yes,Group 1,Unknown,Low,Low,High,Cancer,"Coal tar, petroleum products",High (persistent and bioaccumulative),"Coal tar products, petroleum products",Avoid exposure to coal tar and petroleum products.
"4-Chloro-3,5-dimethylphenol",Phenol,Phenol,1689-69-8,,300-320,Unknown,No,Not listed,Unknown,Low,Low,Moderate,"Skin irritation, respiratory problems","Industrial chemicals, dyes",Moderate,"Industrial chemicals, dyes",Avoid exposure to industrial chemicals; use alternative materials or processes.
9-Fluorenone,Ketone,Ketone,485-71-3,,340,Possible carcinogen (IARC Group 2B),Yes,Group 2B,Unknown,Low,Low,Moderate,"Skin irritation, respiratory problems","Industrial chemicals, dyes",Moderate,"Industrial chemicals, dyes",Avoid exposure to industrial chemicals; use alternative materials or processes.
Acenaphthene,Polycyclic aromatic hydrocarbon (PAH),Aromatic hydrocarbon,83-32-9,,360,Possible carcinogen (IARC Group 2B),Yes,Group 2B,Unknown,Low,Low,High,"Skin irritation, respiratory problems, potential carcinogen","Coal tar, petroleum products",High (persistent and bioaccumulative),"Coal tar products, petroleum products",Avoid exposure to coal tar and petroleum products.
Acenaphthylene,Polycyclic aromatic hydrocarbon (PAH),Aromatic hydrocarbon,208-96-8,,300,Possible carcinogen (IARC Group 2B),Yes,Group 2B,Unknown,Low,Low,High,"Skin irritation, respiratory problems, potential carcinogen","Coal tar, petroleum products",High (persistent and bioaccumulative),"Coal tar products, petroleum products",Avoid exposure to coal tar and petroleum products.
Anthanthrene,Polycyclic aromatic hydrocarbon (PAH),Aromatic hydrocarbon,56-55-1,,426,Carcinogen (IARC Group 1),Yes,Group 1,Unknown,Low,Low,High,Cancer,"Coal tar, petroleum products",High (persistent and bioaccumulative),"Coal tar products, petroleum products",Avoid exposure to coal tar and petroleum products.
B-citronellol,Alcohol,Alcohol,7741-47-3,,230,Unknown,No,Not listed,Unknown,Low,Low,Moderate,"Skin irritation, allergic reactions","Fragrances, cosmetics",Moderate,"Fragrances, cosmetics",Choose fragrance-free products or products with natural fragrances.
Benzo[a]fluorene,Polycyclic aromatic hydrocarbon (PAH),Aromatic hydrocarbon,205-99-2,,370,Carcinogen (IARC Group 1),Yes,Group 1,Unknown,Low,Low,High,Cancer,"Coal tar, petroleum products",High (persistent and bioaccumulative),"Coal tar products, petroleum products",Avoid exposure to coal tar and petroleum products.
Benzo[a]pyrene,Polycyclic aromatic hydrocarbon (PAH),Aromatic hydrocarbon,50-32-8,,495,Carcinogen (IARC Group 1),Yes,Group 1,Unknown,Low,Low,High,Cancer,"Coal tar, petroleum products",High (persistent and bioaccumulative),"Coal tar products, petroleum products",Avoid exposure to coal tar and petroleum products.
Benzo[b]fluorene,Polycyclic aromatic hydrocarbon (PAH),Aromatic hydrocarbon,205-99-2,,370,Carcinogen (IARC Group 1),Yes,Group 1,Unknown,Low,Low,High,Cancer,"Coal tar, petroleum products",High (persistent and bioaccumulative),"Coal tar products, petroleum products",Avoid exposure to coal tar and petroleum products.
Benzo[ghi]perylene,Polycyclic aromatic hydrocarbon (PAH),Aromatic hydrocarbon,191-24-2,,426,Carcinogen (IARC Group 1),Yes,Group 1,Unknown,Low,Low,High,Cancer,"Coal tar, petroleum products",High (persistent and bioaccumulative),"Coal tar products, petroleum products",Avoid exposure to coal tar and petroleum products.
Benzo[k]fluoranthene,Polycyclic aromatic hydrocarbon (PAH),Aromatic hydrocarbon,0207-08-09,,426,Carcinogen (IARC Group 1),Yes,Group 1,Unknown,Low,Low,High,Cancer,"Coal tar, petroleum products",High (persistent and bioaccumulative),"Coal tar products, petroleum products",Avoid exposure to coal tar and petroleum products.
Bifenthrin,Synthetic pyrethroid insecticide,Insecticide,82657-04-02,,200-250 (decomposes),Possible carcinogen (IARC Group 2B),Yes,Group 2B,Possible reproductive toxicity,Low,Low,High,"Neurotoxicity, respiratory irritation","Insecticides, treated clothing",High (persistent and bioaccumulative),"Insecticides, treated clothing",Use alternative insecticides or integrated pest management techniques.
Chlorpyrifos,Organophosphate insecticide,Insecticide,2921-88-2,,200-230 (decomposes),Possible carcinogen (IARC Group 2B),Yes,Group 2B,Possible reproductive toxicity,Low,Low,High,"Neurotoxicity, respiratory irritation","Insecticides, treated crops",High (persistent and bioaccumulative),"Insecticides, treated crops",Use alternative insecticides or integrated pest management techniques.
Chrysene,Polycyclic aromatic hydrocarbon (PAH),Aromatic hydrocarbon,0218-01-09,,363,Carcinogen (IARC Group 1),Yes,Group 1,Unknown,Low,Low,High,Cancer,"Coal tar, petroleum products",High (persistent and bioaccumulative),"Coal tar products, petroleum products",Avoid exposure to coal tar and petroleum products.
Cinnamal,Aldehyde,Aldehyde,104-53-0,,246,Unknown,No,Not listed,Unknown,Low,Low,Moderate,"Skin irritation, allergic reactions","Fragrances, food",Moderate,"Fragrances, food",Choose fragrance-free products or products with natural fragrances.
Citral A,Aldehyde,Aldehyde,78-70-6,,197,Unknown,No,Not listed,Unknown,Low,Low,Moderate,"Skin irritation, allergic reactions","Fragrances, food",Moderate,"Fragrances, food",Choose fragrance-free products or products with natural fragrances.
Citral B,Aldehyde,Aldehyde,78-70-6,,197,Unknown,No,Not listed,Unknown,Low,Low,Moderate,"Skin irritation, allergic reactions","Fragrances, food",Moderate,"Fragrances, food",Choose fragrance-free products or products with natural fragrances.
Cyclopenta[cd]pyrene,Polycyclic aromatic hydrocarbon (PAH),Aromatic hydrocarbon,205-99-2,,370,Carcinogen (IARC Group 1),Yes,Group 1,Unknown,Low,Low,High,Cancer,"Coal tar, petroleum products",High (persistent and bioaccumulative),"Coal tar products, petroleum products",Avoid exposure to coal tar and petroleum products.
Cyhalothrin (Gamma),Synthetic pyrethroid insecticide,Insecticide,63388-47-9,,200-250 (decomposes),Possible carcinogen (IARC Group 2B),Yes,Group 2B,Possible reproductive toxicity,Low,Low,High,"Neurotoxicity, respiratory irritation","Insecticides, treated clothing",High (persistent and bioaccumulative),"Insecticides, treated clothing",Use alternative insecticides or integrated pest management techniques.
D-Limonene,Monoterpene,Terpene,5989-27-5,,175-177,Unknown,No,Not listed,Unknown,Low,Low,Moderate,"Skin irritation, allergic reactions","Fragrances, food",Moderate,"Fragrances, food",Choose fragrance-free products or products with natural fragrances.
Dibenzofuran,Polycyclic aromatic hydrocarbon (PAH),Aromatic hydrocarbon,132-63-0,,292,Possible carcinogen (IARC Group 2B),Yes,Group 2B,Unknown,Low,Low,High,"Skin irritation, respiratory problems, potential carcinogen","Coal tar, petroleum products",High (persistent and bioaccumulative),"Coal tar products, petroleum products",Avoid exposure to coal tar and petroleum products.
Diphenylamine,Aromatic amine,Aromatic amine,122-39-4,,302,Possible carcinogen (IARC Group 2B),Yes,Group 2B,Unknown,Low,Low,Moderate,"Skin irritation, respiratory problems","Industrial chemicals, dyes",Moderate,"Industrial chemicals, dyes",Avoid exposure to industrial chemicals; use alternative materials or processes.
Exaltolide [15-Pentadecanolide],Lactone,Lactone,83-66-9,,224,Unknown,No,Not listed,Unknown,Low,Low,Moderate,"Skin irritation, allergic reactions","Fragrances, cosmetics",Moderate,"Fragrances, cosmetics",Choose fragrance-free products or products with natural fragrances.
"Indeno[1,2,3-cd]pyrene",Polycyclic aromatic hydrocarbon (PAH),Aromatic hydrocarbon,193-39-5,,370,Carcinogen (IARC Group 1),Yes,Group 1,Unknown,Low,Low,High,Cancer,"Coal tar, petroleum products",High (persistent and bioaccumulative),"Coal tar products, petroleum products",Avoid exposure to coal tar and petroleum products.
Linalool,Alcohol,Alcohol,78-70-6,,197,Unknown,No,Not listed,Unknown,Low,Low,Moderate,"Skin irritation, allergic reactions","Fragrances, food",Moderate,"Fragrances, food",Choose fragrance-free products or products with natural fragrances.
Musk amberette,Musk,Musk,83-66-9,,224,Unknown,No,Not listed,Unknown,Low,Low,Moderate,"Skin irritation, allergic reactions","Fragrances, cosmetics",Moderate,"Fragrances, cosmetics",Choose fragrance-free products or products with natural fragrances.
Naphthalene,Aromatic hydrocarbon,Aromatic hydrocarbon,91-20-3,,218,Possible carcinogen (IARC Group 2B),Yes,Group 2B,Unknown,Low,Low,Moderate,"Skin irritation, respiratory problems","Industrial chemicals, mothballs",Moderate,"Industrial chemicals, mothballs",Avoid exposure to industrial chemicals and mothballs; use alternative moth repellents.
Phthalimide,Imide,Imide,85-44-9,,375,Unknown,No,Not listed,Unknown,Low,Low,Moderate,"Skin irritation, respiratory problems","Industrial chemicals, dyes",Moderate,"Industrial chemicals, dyes",Avoid exposure to industrial chemicals; use alternative materials or processes.
Sudan I,Azo dye,Azo dye,0842-07-09,,305,Carcinogen (IARC Group 1),Yes,Group 1,Unknown,Low,Low,High,"Bladder cancer, liver damage","Dyes, pigments",High (persistent and bioaccumulative),"Dyes, pigments",Avoid exposure to azo dyes; choose alternative colorants.
Sulfur (S8),Element,Sulfur,12633-20-7,,444.6,Unknown,No,Not listed,Unknown,Low,Low,Moderate,"Skin irritation, respiratory problems",Industrial chemicals,Moderate,Industrial chemicals,Avoid exposure to industrial chemicals; use alternative materials or processes.
TPP,Triphenyl phosphate,Phosphate,115-86-6,,360,Possible carcinogen (IARC Group 2B),Yes,Group 2B,Possible reproductive toxicity,Low,Low,Moderate,"Endocrine disruptor, reproductive toxicity","Flame retardants, hydraulic fluids",Moderate,"Flame retardants, hydraulic fluids",Choose products without TPP; use alternative flame retardants.
Transfluthrin,Synthetic pyrethroid insecticide,Insecticide,65388-47-9,,200-250 (decomposes),Possible carcinogen (IARC Group 2B),Yes,Group 2B,Possible reproductive toxicity,Low,Low,High,"Neurotoxicity, respiratory irritation","Insecticides, treated clothing",High (persistent and bioaccumulative),"Insecticides, treated clothing",Use alternative insecticides or integrated pest management techniques.
Triphenylene,Polycyclic aromatic hydrocarbon (PAH),Aromatic hydrocarbon,0218-01-09,,363,Carcinogen (IARC Group 1),Yes,Group 1,Unknown,Low,Low,High,Cancer,"Coal tar, petroleum products",High (persistent and bioaccumulative),"Coal tar products, petroleum products",Avoid exposure to coal tar and petroleum products.
"4,4'-DDE",Organochlorine pesticide,Pesticide,78-01-8,,255-265 (decomposes),Carcinogen (IARC Group 1),Yes,Group 1,Possible reproductive toxicity,Low,Low,High,"Endocrine disruptor, reproductive toxicity, cancer","Pesticides, contaminated food",High (persistent and bioaccumulative),"Pesticides, contaminated food",Avoid exposure to pesticides; phase out the use of DDT (parent compound of DDE).
B-Ionone,Ketone,Ketone,79-77-6,,233,Unknown,No,Not listed,Unknown,Low,Low,Moderate,"Skin irritation, allergic reactions","Fragrances, cosmetics",Moderate,"Fragrances, cosmetics",Choose fragrance-free products or products with natural fragrances.
Benzyl cinnamate,Ester,Ester,103-45-1,,355,Unknown,No,Not listed,Unknown,Low,Low,Moderate,"Skin irritation, allergic reactions","Fragrances, cosmetics",Moderate,"Fragrances, cosmetics",Choose fragrance-free products or products with natural fragrances.
Cashmeran,Musk,Musk,531-89-0,,320-340,Unknown,No,Not listed,Unknown,Low,Low,Moderate,"Skin irritation, allergic reactions","Fragrances, cosmetics",Moderate,"Fragrances, cosmetics",Choose fragrance-free products or products with natural fragrances.
Cyclopentadecanone,Ketone,Ketone,83-66-9,,224,Unknown,No,Not listed,Unknown,Low,Low,Moderate,"Skin irritation, allergic reactions","Fragrances, cosmetics",Moderate,"Fragrances, cosmetics",Choose fragrance-free products or products with natural fragrances.
Cypermethrin-3,Synthetic pyrethroid insecticide,Insecticide,52645-53-1,,200-250 (decomposes),Possible carcinogen (IARC Group 2B),Yes,Group 2B,Possible reproductive toxicity,Low,Low,High,"Neurotoxicity, respiratory irritation","Insecticides, treated clothing",High (persistent and bioaccumulative),"Insecticides, treated clothing",Use alternative insecticides or integrated pest management techniques.
D-(cis-trans)-Phenothrin-I,Synthetic pyrethroid insecticide,Insecticide,52645-53-1,,200-250 (decomposes),Possible carcinogen (IARC Group 2B),Yes,Group 2B,Possible reproductive toxicity,Low,Low,High,"Neurotoxicity, respiratory irritation","Insecticides, treated clothing",High (persistent and bioaccumulative),"Insecticides, treated clothing",Use alternative insecticides or integrated pest management techniques.
Ethofenprox,Insecticide,Insecticide,111982-73-5,,150-170 (decomposes),Possible carcinogen (IARC Group 2B),Yes,Group 2B,Possible reproductive toxicity,Low,Low,High,"Neurotoxicity, respiratory irritation","Insecticides, treated crops",High (persistent and bioaccumulative),"Insecticides, treated crops",Use alternative insecticides or integrated pest management techniques.
Eugenol,Phenol,Phenol,97-53-0,,252,Unknown,No,Not listed,Unknown,Low,Low,Moderate,"Skin irritation, allergic reactions","Fragrances, food",Moderate,"Fragrances, food",Choose fragrance-free products or products with natural fragrances.
Farnesol IV,Alcohol,Alcohol,78-70-6,,197,Unknown,No,Not listed,Unknown,Low,Low,Moderate,"Skin irritation, allergic reactions","Fragrances, food",Moderate,"Fragrances, food",Choose fragrance-free products or products with natural fragrances.
Folpet,Fungicide,Fungicide,133-22-7,,220-230 (decomposes),Possible carcinogen (IARC Group 2B),Yes,Group 2B,Unknown,Low,Low,High,"Neurotoxicity, respiratory irritation","Fungicides, treated crops",High (persistent and bioaccumulative),"Fungicides, treated crops",Use alternative fungicides or integrated pest management techniques.
Hydroxy-citronellal,Alcohol,Alcohol,7741-47-3,,230,Unknown,No,Not listed,Unknown,Low,Low,Moderate,"Skin irritation, allergic reactions","Fragrances, cosmetics",Moderate,"Fragrances, cosmetics",Choose fragrance-free products or products with natural fragrances.
"N,n-diethyl-3-aminophenol",Aromatic amine,Aromatic amine,98-86-2,,265,Unknown,No,Not listed,Unknown,Low,Low,Moderate,"Skin irritation, respiratory problems","Industrial chemicals, dyes",Moderate,"Industrial chemicals, dyes",Avoid exposure to industrial chemicals; use alternative materials or processes.
Promecarb artifact [5-isopropyl-3-methylphenol],Phenol,Phenol,105-67-9,,212,Unknown,No,Not listed,Unknown,Low,Low,Moderate,"Skin irritation, respiratory problems",Pesticides,Moderate,Pesticides,Avoid exposure to pesticides; use alternative pesticides or integrated pest management techniques.
Tributyl phosphate,Organophosphate,Phosphate,126-73-8,,289,Possible carcinogen (IARC Group 2B),Yes,Group 2B,Possible reproductive toxicity,Low,Low,Moderate,"Endocrine disruptor, reproductive toxicity","Flame retardants, hydraulic fluids",Moderate,"Flame retardants, hydraulic fluids",Choose products without tributyl phosphate; use alternative flame retardants.
Triethyl phosphate,Organophosphate,Phosphate,78-40-0,,215,Possible carcinogen (IARC Group 2B),Yes,Group 2B,Possible reproductive toxicity,Low,Low,Moderate,"Endocrine disruptor, reproductive toxicity","Flame retardants, hydraulic fluids",Moderate,"Flame retardants, hydraulic fluids",Choose products without triethyl phosphate; use alternative flame retardants.
"1,2,4-Trichlorobenzene",Chlorobenzene,Chlorobenzene,120-82-1,,213,Possible carcinogen (IARC Group 2B),Yes,Group 2B,Unknown,Low,Low,High,"Liver damage, kidney damage","Industrial chemicals, solvents",High (persistent and bioaccumulative),"Industrial chemicals, solvents",Avoid exposure to industrial chemicals; use alternative materials or processes.
Guaiacol,Phenol,Phenol,120-54-4,,260-270,Unknown,No,Not listed,Unknown,Low,Low,Moderate,"Skin irritation, allergic reactions","Fragrances, food",Moderate,"Fragrances, food",Choose fragrance-free products or products with natural fragrances.
2-Methylnaphthalene,Aromatic hydrocarbon,Aromatic hydrocarbon,95-48-7,,242,Possible carcinogen (IARC Group 2B),Yes,Group 2B,Unknown,Low,Low,Moderate,"Skin irritation, respiratory problems","Industrial chemicals, dyes",Moderate,"Industrial chemicals, dyes",Avoid exposure to industrial chemicals; use alternative materials or processes.
4-Isopropylphenol,Phenol,Phenol,98-83-4,,235,Unknown,No,Not listed,Unknown,Low,Low,Moderate,"Skin irritation, respiratory problems","Industrial chemicals, dyes",Moderate,"Industrial chemicals, dyes",Avoid exposure to industrial chemicals; use alternative materials or processes.
"9,10-Anthraquinone",Quinone,Quinone,82-07-3,,380,Possible carcinogen (IARC Group 2B),Yes,Group 2B,Unknown,Low,Low,Moderate,"Skin irritation, respiratory problems","Industrial chemicals, dyes",Moderate,"Industrial chemicals, dyes",Avoid exposure to industrial chemicals; use alternative materials or processes.
Retene,Polycyclic aromatic hydrocarbon (PAH),Aromatic hydrocarbon,0494-06-06,,390,Possible carcinogen (IARC Group 2B),Yes,Group 2B,Unknown,Low,Low,High,"Skin irritation, respiratory problems, potential carcinogen","Coal tar, petroleum products",High (persistent and bioaccumulative),"Coal tar products, petroleum products",Avoid exposure to coal tar and petroleum products.
(+/-)-Cis-Permethrin,Synthetic pyrethroid insecticide,Insecticide,52645-53-1,,200-250 (decomposes),Possible carcinogen (IARC Group 2B),Yes,Group 2B,Possible reproductive toxicity,Low,Low,High,"Neurotoxicity, respiratory irritation","Insecticides, treated clothing",High (persistent and bioaccumulative),"Insecticides, treated clothing",Use alternative insecticides or integrated pest management techniques.
1-Methyl phenanthrene,Polycyclic aromatic hydrocarbon (PAH),Aromatic hydrocarbon,83-32-9,,360,Possible carcinogen (IARC Group 2B),Yes,Group 2B,Unknown,Low,Low,High,"Skin irritation, respiratory problems, potential carcinogen","Coal tar, petroleum products",High (persistent and bioaccumulative),"Coal tar products, petroleum products",Avoid exposure to coal tar and petroleum products.
