CASRN,DTXSID,preferred_name,MammaryTumorEvidence,MammaryTumorRefs,E2up_onedose,P4up_onedose,E2up_CR,P4up_CR,HormoneSummary,AUC.Agonist,AUC.Antagonist,ERactivity,EDC,topEDCscore,Genotoxicity
58-22-0,DTXSID8022371,Testosterone,MC,"IARC, CCRIS, Rudel2007",-,-,-,-,-,-,-,-,-,-,negative
5834-17-3,DTXSID9020825,2-Methoxy-3-aminodibenzofuran,MC,"LCDB, Rudel2007",-,-,-,-,-,-,-,-,-,-,-
58917-67-2,DTXSID9036779,Benzo(a)pyrene diolepoxide 1,MC,"CCRIS, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
59-35-8,DTXSID0020496,"4,6-Dimethyl-2-(5-nitro-2-furyl) pyrimidine",MC,"LCDB, Rudel2007",-,-,-,-,-,-,-,-,-,-,-
59-87-0,DTXSID5020944,Nitrofurazone,MC,"IARC, NTP, ToxRefDB, ToxValDB, CCRIS, LCDB, Rudel2007",negative,negative,-,-,negative,0,0,inactive,EDC-,none,positive
5915-41-3,DTXSID4027608,Terbutylazine,MC,"EPA_OPP_dismissed, ToxRefDB",positive,positive,high,borderline,"E2, *P4",0.057,0,borderline_agonism,EDC+,high,negative
595-33-5,DTXSID9040683,Megestrol acetate,MC,"IARC, CCRIS, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
60-57-1,DTXSID9020453,Dieldrin,MC,IARC,negative,negative,-,-,negative,0.0181,0,borderline_agonism,EDC~,borderline,positive
602-87-9,DTXSID3020960,5-Nitroacenaphthene,MC,"IARC, NTP, CCRIS, LCDB, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
60391-92-6,DTXSID3020251,Carboxymethylnitrosourea,MC,"LCDB, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
607-57-8,DTXSID2020971,2-Nitrofluorene,MC,"IARC, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
61-57-4,DTXSID6045244,Niridazole,MC,"IARC, CCRIS, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
612-82-8,DTXSID6020511,"3,3'-Dimethylbenzidine dihydrochloride",MC,"IARC, ROC15, NTP, CCRIS, LCDB",positive,positive,medium,high,"E2, P4",0.143,0.000299,low_agonism,EDC+,high,positive
613-13-8,DTXSID2024458,2-Aminoanthracene,MC,"CCRIS, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
613-35-4,DTXSID9036854,"N,N'-Diacetylbenzidine",MC,"IARC, CCRIS, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
62-44-2,DTXSID1021116,Phenacetin,MC,"LCDB, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
62-50-0,DTXSID6025309,Ethyl methanesulfonate,MC,"ROC15, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
62-73-7,DTXSID5020449,Dichlorvos,MC,"IARC, NTP_equivocal, EPA_OPP_dismissed, ToxRefDB, CCRIS, LCDB_equivocal, Rudel2007",negative,positive,-,-,*P4,0,0,inactive,EDC~,none,positive
62450-07-1,DTXSID5043768,Trp-P-2,MC,"CCRIS, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
630-20-6,DTXSID2021317,"1,1,1,2-Tetrachloroethane",MC,IARC,-,-,-,-,-,-,-,-,-,-,positive
630-56-8,DTXSID6043915,"17-((1-Oxohexyl)oxy)pregn-4-ene-3,20-dione",MC,"IARC, Rudel2007",negative,no data,ns effect,ns effect,negative,0.0177,0.0202,borderline_mixed,EDC~,borderline,-
63019-65-8,DTXSID8020389,N-1-Diacetamidofluorene,MC,"LCDB, Rudel2007",-,-,-,-,-,-,-,-,-,-,-
636-21-5,DTXSID7021364,2-Methylaniline hydrochloride,MC,"NTP, ToxRefDB, CCRIS, LCDB",negative,no data,-,-,negative,0,0,inactive,EDC-,none,positive
63642-17-1,DTXSID1020851,N-(N-Methyl-N-nitrosocarbamoyl)-l-ornithine,MC,"CCRIS, LCDB, Rudel2007",-,-,-,-,-,-,-,-,-,-,-
64-17-5,DTXSID9020584,Ethanol,MC,IARC,-,-,-,-,-,-,-,-,-,-,positive
6459-94-5,DTXSID8021224,C.I. Acid Red 114,MC,"IARC, ROC15_equivocal, NTP_equivocal, LCDB_equivocal, Rudel2007",-,-,-,-,-,0,0.0473,borderline_antagonism,EDC-,none,positive
66-75-1,DTXSID8026270,Uracil mustard,MC,"CCRIS, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
67-20-9,DTXSID7020972,Nitrofurantoin,MC,"IARC, CCRIS, Rudel2007",negative,negative,-,-,negative,1.37e-06,0,inactive,EDC-,none,positive
67651-34-7,DTXSID5022350,"2,3,4,5-Tetrachloro-4'-biphenylol",MC,"IARC, CCRIS",-,-,-,-,-,-,-,-,-,-,-
68-22-4,DTXSID9023380,Norethindrone,MC,"IARC, ROC15, Rudel2007",negative,no data,ns effect,ns effect,negative,0.524,0,medium_agonism,EDC+,medium,negative
68-23-5,DTXSID3021069,Norethynodrel,MC,"IARC, CCRIS, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
68162-13-0,-,"Trans-7,12-Dimethylbenz(a)anthracene-3,4-dihydrodiol",MC,CCRIS,-,-,-,-,-,-,-,-,-,-,positive
68359-37-5,DTXSID5035957,Cyfluthrin,MC,"EPA_OPP_dismissed, ToxRefDB",negative,negative,high,ns effect,E2,0,0,inactive,EDC+,high,negative
684-93-5,DTXSID4021006,N-Nitroso-N-methylurea,MC,"ROC15, CCRIS, Rudel2007",negative,no data,-,-,negative,0.000967,0.00336,inactive,EDC-,none,positive
69409-94-5,DTXSID7024110,Fluvalinate,MC,ToxRefDB,-,-,-,-,-,-,-,-,-,-,-
7008-42-6,DTXSID0020026,Acronycine,MC,"NTP, CCRIS, LCDB, Rudel2007",-,-,-,-,-,-,-,-,-,-,-
71-43-2,DTXSID3039242,Benzene,MC,"IARC, ROC15, NTP, CCRIS, LCDB, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
71-58-9,DTXSID0025527,Medroxyprogesterone acetate,MC,"IARC, CCRIS, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
71133-14-7,DTXSID4024644,Bromodichloroacetic acid,MC,"ROC15, NTP",-,-,-,-,-,-,-,-,-,-,positive
712-68-5,DTXSID7020059,"2-Amino-5-(5-nitro-2-furyl)-1,3,4-thiadiazole",MC,"IARC, CCRIS, LCDB, Rudel2007",-,-,-,-,-,-,-,-,-,-,-
71609-22-8,DTXSID60221855,"N-Hydroxy-N,N'-diacetylbenzidine",MC,"CCRIS, Rudel2007",-,-,-,-,-,-,-,-,-,-,-
72-33-3,DTXSID0020814,Mestranol,MC,"IARC, CCRIS, Rudel2007",negative,no data,ns effect,ns effect,negative,0.742,0,high_agonism,EDC+,high,positive
720-69-4,DTXSID7020396,"4,6-Diamino-2-(5-nitro-2-furyl)-s-triazine",MC,"LCDB, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
72254-58-1,DTXSID5021417,Trp-P-2 acetate,MC,"LCDB, Rudel2007",-,-,-,-,-,-,-,-,-,-,negative
72479-23-3,DTXSID50222775,1-Nitroso-1-ethyl-3-methylurea,MC,"CCRIS, Rudel2007",-,-,-,-,-,-,-,-,-,-,-
732-11-6,DTXSID5024261,Phosmet,MC,EPA_OPP,negative,negative,ns effect,low,P4,0,0,inactive,EDC+,low,positive
7336-20-1,DTXSID2020397,"4,4'-Diamino-2,2'-stilbenedisulfonic acid, disodium salt",MC,"NTP_dismissed, Rudel2007",-,-,-,-,-,-,-,-,-,-,negative
2/8/7496,DTXSID9075454,6-Nitrochrysene,MC,"IARC, ROC15, CCRIS, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
75-01-4,DTXSID8021434,Vinyl chloride,MC,"IARC, ROC15, CCRIS, LCDB, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
75-02-5,DTXSID3021435,Vinyl fluoride,MC,"IARC, ROC15, CCRIS, LCDB, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
75-07-0,DTXSID5039224,Acetaldehyde,MC,"IARC, ROC15",negative,negative,-,-,negative,-,-,-,EDC-,-,positive
75-09-2,DTXSID0020868,Dichloromethane,MC,"IARC, ROC15, NTP, CCRIS, LCDB, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
75-21-8,DTXSID0020600,Ethylene oxide,MC,"IARC, ROC15, NTP, EPA_IRIS, LCDB, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
75-34-3,DTXSID1020437,"1,1-Dichloroethane",MC,"NTP_equivocal, ToxRefDB, CCRIS_equivocal, LCDB_equivocal, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
75-35-4,DTXSID8021438,"1,1-Dichloroethylene",MC,"IARC, CCRIS, LCDB, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
75-52-5,DTXSID2020977,Nitromethane,MC,"IARC, ROC15, NTP, ToxValDB, CCRIS, LCDB, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
75-55-8,DTXSID8024286,Propyleneimine,MC,"IARC, ROC15, CCRIS, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
75-56-9,DTXSID5021207,"1,2-Propylene oxide",MC,"IARC, ROC15, EPA_OPP_dismissed, ToxRefDB, LCDB, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
75198-31-1,DTXSID0020947,"3-(5-Nitro-2-furyl)-imidazo(1,2-alpha) pyridine",MC,"LCDB, Rudel2007",-,-,-,-,-,-,-,-,-,-,-
75321-20-9,DTXSID5074975,"1,3-Dinitropyrene",MC,"IARC, CCRIS, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
75443-72-0,-,"Anti-3,4-Dihydroxy-1,2-epoxy-1,2,3,4-tetrahydrobenzo(c)phenanthrene",MC,CCRIS,-,-,-,-,-,-,-,-,-,-,-
759-73-9,DTXSID8020593,1-Ethyl-1-nitrosourea,MC,"ROC15, CCRIS, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
76-06-2,DTXSID0020315,Trichloronitromethane,MC,"ToxRefDB, CCRIS",-,-,-,-,-,-,-,-,-,-,positive
760-56-5,DTXSID3020049,1-Allyl-1-nitrosourea,MC,"CCRIS, LCDB, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
76180-96-6,DTXSID4020745,"2-Amino-3-methyl-3H-imidazo[4,5-f]quinoline",MC,"IARC, ROC15, CCRIS, LCDB, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
7632-00-0,DTXSID0020941,Sodium nitrite,MC,IARC,negative,negative,-,-,negative,0,0,inactive,EDC-,none,positive
77-46-3,DTXSID1021295,"4,4'-Sulfonylbisacetanilide",MC,"LCDB, Rudel2007",-,-,-,-,-,-,-,-,-,-,negative
77094-11-2,DTXSID6020800,MeIQ,MC,"IARC, ROC15, CCRIS, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
77439-76-0,DTXSID6020276,3-Chloro-4-(dichloromethyl)-5-hydroxy-2(5H)-furanone,MC,"IARC, ToxValDB, CCRIS, LCDB, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
77500-04-0,DTXSID1020801,MeIQx,MC,CCRIS,-,-,-,-,-,-,-,-,-,-,positive
78-79-5,DTXSID2020761,Isoprene,MC,"IARC, ROC15, NTP, CCRIS, LCDB, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
78-87-5,DTXSID0020448,"1,2-Dichloropropane",MC,"IARC, NTP_equivocal, ToxRefDB, CCRIS_equivocal, LCDB_equivocal, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
78587-05-0,DTXSID7024299,Hexythiazox,MC,CCRIS,negative,negative,high,borderline,"E2, *P4",0,0,inactive,EDC+,high,-
79-01-6,DTXSID0021383,Trichloroethylene,MC,IARC,-,-,-,-,-,-,-,-,-,-,positive
79-06-1,DTXSID5020027,Acrylamide,MC,"IARC, ROC15, NTP, ToxRefDB, ToxValDB, CCRIS, LCDB, Rudel2007",negative,negative,ns effect,ns effect,negative,0,0,inactive,EDC-,none,positive
12/1/8015,DTXSID7021071,Norlestrin,MC,"LCDB, Rudel2007",-,-,-,-,-,-,-,-,-,-,negative
82097-50-5,DTXSID0024345,Triasulfuron,MC,ToxRefDB,-,-,-,-,-,-,-,-,-,-,-
82617-23-0,DTXSID801002821,Oxiran-2-yl hydrogen carbonimidate,MC,"CCRIS, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
83349-67-1,-,"Anti-1,2,3,10b-tetrahydrofluoranthene-2,3-diol 1,10b-oxide",MC,"CCRIS, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
834-12-8,DTXSID1023869,Ametryn,MC,"EPA_OPP_dismissed, ToxRefDB",positive,positive,medium,low,"E2, P4",0,0,inactive,EDC+,medium,positive
834-24-2,DTXSID001019381,4-aminostilbene,MC,"CCRIS, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
838-88-0,DTXSID5020867,"4,4'-Methylenebis(o-toluidine)",MC,"IARC, LCDB, Rudel2007",negative,positive,ns effect,medium,P4,0.0458,0.0113,borderline_mixed,EDC+,medium,positive
843-23-2,DTXSID001033709,trans-N-Hydroxy-4-acetylaminostilbene,MC,"CCRIS, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
869-01-2,DTXSID2020214,N-Butyl-N-nitrosourea,MC,"CCRIS, LCDB, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
87625-62-5,DTXSID20892005,Ptaquiloside,MC,"CCRIS, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
88-72-2,DTXSID4025791,2-Nitrotoluene,MC,"ROC15, NTP, ToxRefDB, CCRIS, LCDB, Rudel2007",negative,negative,-,-,negative,0,0,inactive,EDC-,none,positive
88133-11-3,DTXSID7020132,Bemitradine,MC,"CCRIS, LCDB, Rudel2007",-,-,-,-,-,-,-,-,-,-,negative
91-94-1,DTXSID6020432,"3,3'-Dichlorobenzidine",MC,"IARC, ROC15, EPA_IRIS, ToxValDB, CCRIS, LCDB, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
92-67-1,DTXSID5020071,4-Biphenylamine,MC,"IARC, ROC15, CCRIS, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
92-87-5,DTXSID2020137,C.I. Azoic Diazo Component 112,MC,"IARC, ROC15, LCDB, Rudel2007",positive,positive,medium,medium,"E2, P4",0.0183,0,borderline_agonism,EDC+,medium,positive
93-15-2,DTXSID5025607,Methyleugenol,MC,"ROC15, NTP, ToxRefDB, CCRIS, LCDB, Rudel2007",positive,negative,medium,ns effect,E2,0,0,inactive,EDC+,medium,positive
94125-34-5,DTXSID9034868,Prosulfuron,MC,ToxRefDB,-,-,-,-,-,-,-,-,-,-,-
95-06-7,DTXSID7021289,Sulfallate,MC,"IARC, ROC15, NTP, CCRIS, LCDB, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
95-53-4,DTXSID1026164,2-Methylaniline,MC,"IARC, ROC15, Rudel2007",negative,negative,-,-,negative,0,0,inactive,EDC-,none,positive
95-80-7,DTXSID4020402,"2,4-Diaminotoluene",MC,"NTP, ToxRefDB, CCRIS, LCDB, Rudel2007",negative,positive,ns effect,borderline,*P4,0,0,inactive,EDC~,borderline,positive
96-09-3,DTXSID2021286,Styrene oxide,MC,IARC,negative,negative,-,-,negative,0,0,inactive,EDC-,none,positive
96-12-8,DTXSID3020413,"1,2-Dibromo-3-chloropropane",MC,"IARC, ROC15, NTP, ToxRefDB, CCRIS, LCDB, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
96-13-9,DTXSID7021817,"2,3-Dibromopropanol",MC,"IARC, ROC15, NTP, CCRIS, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
96-18-4,DTXSID9021390,"1,2,3-Trichloropropane",MC,"IARC, ROC15, NTP, ToxRefDB, CCRIS, LCDB, Rudel2007",negative,negative,-,-,negative,0,0,inactive,EDC-,none,positive
96724-44-6,DTXSID5020609,1-Ethylnitroso-3-(2-hydroxyethyl)urea,MC,"CCRIS, LCDB, Rudel2007",-,-,-,-,-,-,-,-,-,-,-
96724-45-7,DTXSID6020725,1-(2-Hydroxyethyl)-nitroso-3-ethylurea,MC,"CCRIS, LCDB, Rudel2007",-,-,-,-,-,-,-,-,-,-,-
97-54-1,DTXSID7022413,Isoeugenol,MC,"NTP_equivocal, ToxRefDB",positive,positive,low,borderline,"E2, *P4",0.0124,0.00199,borderline_agonism,EDC+,low,positive
97-56-3,DTXSID1020069,o-Aminoazotoluene,MC,"ROC15, Rudel2007",positive,positive,high,high,"E2, P4",0.142,0,low_agonism,EDC+,high,positive
979-32-8,DTXSID8023004,Estradiol valerate,MC,"CCRIS, Rudel2007",-,-,-,-,-,-,-,-,-,-,-
98-95-3,DTXSID3020964,Nitrobenzene,MC,"ROC15, CCRIS, LCDB, Rudel2007",negative,negative,-,-,negative,0,0,inactive,EDC-,none,positive
99-59-2,DTXSID0020943,5-Nitro-o-anisidine,MC,"IARC, ToxRefDB, Rudel2007",negative,positive,ns effect,medium,P4,0,0,inactive,EDC+,medium,positive
NOCAS_24069,DTXSID9024069,"2,4-/2,6-Dinitrotoluene mixture",MC,EPA_IRIS,-,-,-,-,-,-,-,-,-,-,-
X,-,Ionizing radiation,MC,"IARC, Rudel2007",-,-,-,-,-,-,-,-,-,-,positive
100-02-7,DTXSID0021834,4-Nitrophenol,Bioassay_noMC,"NTP, ToxRefDB",positive,positive,ns effect,low,P4,0,0,inactive,EDC+,low,positive
100-43-6,DTXSID0051499,4-Vinylpyridine,-,-,positive,negative,-,-,*E2,-,-,-,EDC~,-,negative
100-51-6,DTXSID5020152,Benzyl alcohol,Bioassay_noMC,"NTP, ToxRefDB",positive,negative,-,-,*E2,0,0,inactive,EDC~,none,positive
1007-28-9,DTXSID0037495,Deisopropylatrazine,-,-,positive,negative,medium,borderline,"E2, *P4",0.00394,0,inactive,EDC+,medium,negative
10081-67-1,DTXSID0027721,4-(2-Phenylpropan-2-yl)-N-[4-(2-phenylpropan-2-yl)phenyl]aniline,-,-,negative,positive,ns effect,high,P4,0,0,inactive,EDC+,high,negative
101-02-0,DTXSID0026252,Triphenyl phosphite,-,-,positive,positive,borderline,borderline,"*E2, *P4",0.0021,0,inactive,EDC~,borderline,negative
101-05-3,DTXSID9020089,Anilazine,Bioassay_noMC,"NTP, ToxRefDB",negative,negative,high,medium,"E2, P4",4.31e-05,0,inactive,EDC+,high,positive
101-21-3,DTXSID7020764,Chlorpropham,Bioassay_noMC,ToxRefDB,positive,negative,medium,ns effect,E2,0,0,inactive,EDC+,medium,positive
101-37-1,DTXSID8037754,"2,4,6-Tris(allyloxy)-1,3,5-triazine",-,-,positive,negative,medium,medium,"E2, P4",0,5.89e-07,inactive,EDC+,medium,negative
101-54-2,DTXSID7025895,"N-Phenyl-1,4-benzenediamine",Bioassay_noMC,NTP,negative,negative,ns effect,medium,P4,0.000215,0,inactive,EDC+,medium,negative
101-61-1,DTXSID5020869,"4,4'-Methylenebis(N,N-dimethylaniline)",Bioassay_noMC,"NTP, ToxRefDB",negative,positive,ns effect,high,P4,0.0518,0,borderline_agonism,EDC+,high,positive
101-72-4,DTXSID1025485,N-Isopropyl-N'-phenyl-p-phenylenediamine,-,-,negative,negative,borderline,ns effect,*E2,-,-,-,EDC~,borderline,negative
101-77-9,DTXSID6022422,"4,4'-Diaminobiphenyl methane",Bioassay_noMC,ToxValDB,negative,positive,high,high,"E2, P4",0.00885,0,inactive,EDC+,high,positive
101-81-5,DTXSID1041891,Diphenylmethane,-,-,negative,no data,-,-,negative,0.0207,0,borderline_agonism,EDC~,borderline,-
101-83-7,DTXSID6025018,Dicyclohexylamine,-,-,negative,no data,medium,ns effect,E2,0,0,inactive,EDC+,medium,positive
10161-33-8,DTXSID0034192,17beta-Trenbolone,-,-,negative,no data,ns effect,ns effect,negative,0.475,0,medium_agonism,EDC+,medium,negative
102-76-1,DTXSID3026691,Triacetin,-,-,negative,negative,-,-,negative,0.0182,0,borderline_agonism,EDC~,borderline,negative
10222-01-2,DTXSID5032361,"2,2-Dibromo-3-nitrilopropionamide",Bioassay_noMC,ToxRefDB,negative,positive,borderline,medium,"*E2, P4",0,0,inactive,EDC+,medium,-
102676-31-3,DTXSID4020618,Fadrozole hydrochloride,-,-,-,-,ns effect,borderline,*P4,0.0825,0,borderline_agonism,EDC~,borderline,-
103-33-3,DTXSID8020123,Azobenzene,Bioassay_noMC,"NTP, ToxRefDB",negative,negative,low,borderline,"E2, *P4",0,0,inactive,EDC+,low,positive
103-41-3,DTXSID3041663,Benzyl cinnamate,-,-,positive,negative,borderline,ns effect,*E2,0,0,inactive,EDC~,borderline,negative
103-65-1,DTXSID3042219,Propylbenzene,-,-,positive,negative,-,-,*E2,0,0,inactive,EDC~,none,-
103-69-5,DTXSID1025271,N-Ethylaniline,-,-,positive,negative,-,-,*E2,0,0,inactive,EDC~,none,negative
1031-07-8,DTXSID3037541,Endosulfan sulfate,-,-,positive,no data,low,ns effect,E2,0,0.00235,inactive,EDC+,low,-
103361-09-7,DTXSID7032555,Flumioxazin,Bioassay_noMC,ToxRefDB,negative,negative,ns effect,medium,P4,0,0,inactive,EDC+,medium,-
1034-01-1,DTXSID4040713,Octyl gallate,-,-,negative,positive,ns effect,medium,P4,0.0144,0.0768,borderline_mixed,EDC+,medium,-
104-40-5,DTXSID5033836,4-Nonylphenol,-,-,negative,negative,-,-,negative,0.088,0,borderline_agonism,EDC~,borderline,negative
104-43-8,DTXSID1022508,4-Dodecylphenol,-,-,negative,negative,-,-,negative,0.41,0,medium_agonism,EDC+,medium,-
104-54-1,DTXSID9041491,3-Phenyl-2-propen-1-ol,-,-,negative,no data,low,ns effect,E2,0.00786,0,inactive,EDC+,low,positive
104-66-5,DTXSID5026706,"1,2-Diphenoxyethane",-,-,positive,no data,borderline,ns effect,*E2,0,0,inactive,EDC~,borderline,positive
104-67-6,DTXSID4034287,5-Heptyldihydro-2(3H)-furanone,-,-,negative,positive,ns effect,medium,P4,0,0,inactive,EDC+,medium,negative
105-55-5,DTXSID8020466,"N,N'-Diethylthiourea",Bioassay_noMC,NTP,-,-,-,-,-,0.0196,0,borderline_agonism,EDC~,borderline,negative
105-67-9,DTXSID2021864,"2,4-Dimethylphenol",-,-,positive,positive,high,low,"E2, P4",0,0,inactive,EDC+,high,positive
105512-06-9,DTXSID6032354,Clodinafop-propargyl,Bioassay_noMC,ToxRefDB,negative,positive,low,high,"E2, P4",0,0.000117,inactive,EDC+,high,-
105624-86-0,DTXSID1046970,"2-(2,6-Diisopropylphenyl)-5-hydroxy-1H-isoindole-1,3-dione",-,-,negative,positive,ns effect,ns effect,negative,0.418,0,medium_agonism,EDC+,medium,-
106-30-9,DTXSID1040112,Ethyl heptanoate,-,-,negative,negative,-,-,negative,0.0173,0,borderline_agonism,EDC~,borderline,negative
106-44-5,DTXSID7021869,p-Cresol,-,-,positive,positive,medium,low,"E2, P4",0,0,inactive,EDC+,medium,positive
106-47-8,DTXSID9020295,4-Chloroaniline,Bioassay_noMC,"NTP, ToxValDB, ToxRefDB",negative,negative,borderline,low,"*E2, P4",0,1.73e-07,inactive,EDC+,low,positive
106-48-9,DTXSID1021871,4-Chlorophenol,-,-,-,-,-,-,-,0.0293,0.00838,borderline_agonism,EDC~,borderline,positive
106-87-6,DTXSID0020604,4-Vinyl-1-cyclohexene dioxide,Bioassay_noMC,NTP,positive,negative,-,-,*E2,0,0,inactive,EDC~,none,positive
1061517-62-1,DTXSID4047337,PharmaGSID_47337,-,-,negative,positive,ns effect,low,P4,0,8.24e-05,inactive,EDC+,low,-
1068967-96-3,DTXSID8047391,SAR102608,-,-,negative,no data,borderline,ns effect,*E2,0,0,inactive,EDC~,borderline,-
107-30-2,DTXSID6020307,Chloromethyl methyl ether,-,-,-,-,-,-,-,0.0306,0,borderline_agonism,EDC~,borderline,positive
107-98-2,DTXSID8024284,1-Methoxy-2-propanol,-,-,negative,negative,-,-,negative,0.0156,3.38e-05,borderline_agonism,EDC~,borderline,negative
1072-15-7,DTXSID7047487,Sodium nonyl sulfate,-,-,negative,negative,-,-,negative,0.093,0,borderline_agonism,EDC~,borderline,-
108-21-4,DTXSID2025478,Isopropyl acetate,-,-,-,-,-,-,-,0.0152,0.000759,borderline_agonism,EDC~,borderline,negative
108-39-4,DTXSID6024200,m-Cresol,-,-,positive,negative,-,-,*E2,0,0,inactive,EDC~,none,positive
108-44-1,DTXSID1026792,3-Methylaniline,-,-,positive,negative,ns effect,borderline,*P4,0,0,inactive,EDC~,borderline,negative
108-45-2,DTXSID4021137,"1,3-Benzenediamine",-,-,negative,positive,-,-,*P4,0,0,inactive,EDC~,none,positive
108-46-3,DTXSID2021238,Resorcinol,Bioassay_noMC,"NTP, ToxRefDB",-,-,ns effect,low,P4,0.00321,0.0101,borderline_antagonism,EDC+,low,positive
108-48-5,DTXSID7051557,"2,6-Dimethylpyridine",-,-,negative,negative,ns effect,borderline,*P4,-,-,-,EDC~,borderline,-
108-68-9,DTXSID1025148,"3,5-Dimethylphenol",-,-,positive,no data,-,-,*E2,0,0,inactive,EDC~,none,negative
1085-12-7,DTXSID4022523,Heptyl p-hydroxybenzoate,-,-,-,-,-,-,-,0.269,0,low_agonism,EDC+,low,-
109-46-6,DTXSID8042187,"N,N'-Dibutylthiourea",-,-,positive,no data,-,-,*E2,0,0,inactive,EDC~,none,negative
110-43-0,DTXSID5021916,2-Heptanone,-,-,positive,no data,-,-,*E2,0,0,inactive,EDC~,none,negative
110-97-4,DTXSID8020179,Diisopropanolamine,-,-,negative,no data,-,-,negative,0.0651,0,borderline_agonism,EDC~,borderline,negative
110235-47-7,DTXSID4042121,Mepanipyrim,-,-,negative,negative,medium,ns effect,E2,7.79e-05,0,inactive,EDC+,medium,-
110488-70-5,DTXSID7034545,Dimethomorph,Bioassay_noMC,ToxRefDB,positive,negative,high,borderline,"E2, *P4",0,0,inactive,EDC+,high,-
111-34-2,DTXSID5051575,Butyl vinyl ether,-,-,negative,negative,ns effect,borderline,*P4,-,-,-,EDC~,borderline,negative
111-71-7,DTXSID0021597,Heptanal,-,-,-,-,-,-,-,0.0319,0,borderline_agonism,EDC~,borderline,negative
111-77-3,DTXSID3025049,Diethylene glycol monomethyl ether,-,-,positive,negative,-,-,*E2,0,0,inactive,EDC~,none,negative
112-00-5,DTXSID1026900,Dodecyltrimethylammonium chloride,-,-,negative,negative,borderline,ns effect,*E2,0.000105,0,inactive,EDC~,borderline,negative
112-05-0,DTXSID3021641,Nonanoic acid,Bioassay_noMC,ToxRefDB,negative,negative,low,ns effect,E2,0,0,inactive,EDC+,low,negative
112-38-9,DTXSID8035001,10-Undecenoic acid,-,-,positive,negative,low,borderline,"E2, *P4",0,0,inactive,EDC+,low,negative
1121-78-4,DTXSID4051580,6-Methyl-3-hydroxypyridine,-,-,positive,negative,-,-,*E2,-,-,-,EDC~,-,-
112733-06-9,DTXSID0047296,Zenarestat,-,-,positive,positive,low,borderline,"E2, *P4",0,0,inactive,EDC+,low,-
1134-23-2,DTXSID6032356,Cycloate,Bioassay_noMC,ToxRefDB,positive,negative,high,ns effect,E2,0,0,inactive,EDC+,high,negative
114369-43-6,DTXSID8032548,Fenbuconazole,Bioassay_noMC,ToxRefDB,negative,positive,ns effect,high,P4,0.000538,0,inactive,EDC+,high,-
115-29-7,DTXSID1020560,Endosulfan,Bioassay_noMC,"NTP, ToxRefDB",negative,negative,-,-,negative,0.0295,0,borderline_agonism,EDC~,borderline,positive
115-86-6,DTXSID1021952,Triphenyl phosphate,-,-,positive,no data,medium,ns effect,E2,0.0641,0.0314,borderline_mixed,EDC+,medium,negative
